combine w/,team table,,,,OLDentryid,entryid,Year,orgid,Class,Team,Place,buggyid,Prelim,Reroll,Final,Fin Reroll,DQ,Note,PreDriver,PreH1,PreH2,PreH3,PreH4,PreH5,RRDriver,RRH1,RRH2,RRH3,RRH4,RRH5,FinDriver,FinH1,FinH2,FinH3,FinH4,FinH5,FinRRDriver,FinRRH1,FinRRH2,FinRRH3,FinRRH4,FinRRH5
,,,,,,1929.KS.MA,1929,KS,M,A,2,0,188.5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,770,1929.PKT.MA,1929,PKT,M,A,1,0,185.6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,769,1930.BTP.MA,1930,BTP,M,A,1,0,177.5,0,0,0,0,Course Record,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1930.PSK.MA,1930,PSK,M,A,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1931.BTP.MA,1931,BTP,M,A,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,768,1931.DTD.MA,1931,DTD,M,A,1,0,179,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1931.KS.MA,1931,KS,M,A,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1932.ATO.MA,1932,ATO,M,A,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,767,1932.BTP.MA,1932,BTP,M,A,1,0,174.8,0,0,0,0,Course Record,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1932.DTD.MA,1932,DTD,M,A,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,766,1933.BTP.MA,1933,BTP,M,A,1,0,168.5,0,0,0,0,Course Record,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1933.KS.MA,1933,KS,M,A,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1933.SN.MA,1933,SN,M,A,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1934.BTP.MA,1934,BTP,M,A,0,0,174,0,0,0,Transition,Pusher fell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1934.DTD.MA,1934,DTD,M,A,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,765,1934.KS.MA,1934,KS,M,A,1,0,0,0,169.7,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1934.PKA.MA,1934,PKA,M,A,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1934.TX.MA,1934,TX,M,A,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,764,1935.BTP.MA,1935,BTP,M,A,1,0,167.2,0,0,0,0,Course Record,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1935.DTD.MA,1935,DTD,M,A,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1935.KS.MA,1935,KS,M,A,2,0,0,0,0,0,0,Close finish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1935.PKA.MA,1935,PKA,M,A,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
